asa_grav [m²/g],asa_vol [m²/cm³],av_vf,pore_volume [cm³/g],density [g/cm³],nexc [wt. %],uptake_grav [wt. %],uptake_vol [g H2/L],metal1,metal2,metal3,csd_ref,name1,name2,name3,oms,lcd [Å],pld [Å],LFPD [Å]
2434.99,2147.64,0.72,0.81,0.88,4.39,5.57,52.01,Cu,,,SOYWOT,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetramethylammonium""]",Yes,13.17,6.58,13.17
2396.81,2115.68,0.71,0.81,0.88,4.35,5.53,51.71,Cu,,,UCOCUM,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]","[""dihydrogen_phosphate"", ""phosphito"", ""Hydrogenphosphate"", ""phosphate""]","[""tetramethylammonium""]",Yes,13.17,6.57,13.17
2907.78,2505.7,0.71,0.82,0.86,4.99,6.02,55.22,Zn,,,UJUPUM,"[""(5-methyl)tetrazolyl"", ""5-methyltetrazol-1-yl"", ""5,10,15,20-tetrakis(pyridin-3-yl)porphyrinate"", ""5-methyl-1,2,3,4-tetrazolyl"", ""5-methyltetrazolate""]","[""2-amineethan-1-aminium""]","[""1,3-dimethylimidazolidin-2-one"", ""1,3-dimethyl-2-imidazolidinone""]",Yes,6.78,5.67,6.77
4512,2521.72,0.77,1.39,0.56,6.96,8.94,54.88,Cu,,,XUDPIX,"4,4',4'',4'''-(1,3-phenylenedinitrilo)tetrabenzoate","[""1,4-bis(1H-imidazol-1-yl)benzene"", ""1,1'-(1,4-phenylene)bis(1H-imidazole)""]","[""1-methyl-1H-imidazole""]",Yes,11.39,6.96,11.17
2235.22,1938.3,0.62,0.72,0.87,4.14,5.13,46.94,Zn,,,YORGOD,5-(pyren-1-ylmethoxy)isophthalate,"[""5-(benzyloxy)isophthalate""]","[""4,4'-(1,4-phenylene)dipyridine"", ""1,4-bis(4-Pyridyl)benzene"", ""4-(4-(pyridin-4-yl)phenyl)pyridine""]",No,8.38,4.13,8.38
3232.68,2759.78,0.7,0.82,0.85,5.4,6.35,57.93,Cd,,,VAKNAZ,"[""Isophthalate"", ""1,3-Benzenedicarboxylate"", ""benzene-1,3-dicarboxylate"", ""3-carboxybenzoate""]",,"bis((pyridin-3-yl)methyl)hexane-1,6-bis(aminium)",Yes,6.17,4.19,6.16
3196.98,2469.12,0.73,0.94,0.77,5.35,6.61,54.66,Cd,,,VAKNED,"[""benzene-1,3,5-tricarboxylate"", ""benzene-1,3,5-tricarboxyate"", ""1,3-dicarboxylatebenzene-5-carboxylic"", ""1,3,5-Benzenetricarboxylate"", ""1,3,5-tricarboxylatebenzene"", ""3,5-dicarboxybenzoate"", ""5-carboxybenzene-1,3-dicarboxylate""]",,"bis((pyridin-3-yl)methyl)hexane-1,6-bis(aminium)",Yes,8.2,6.13,8.19
3636.41,2542.49,0.74,1.05,0.7,5.89,7.29,55,Cd,,,VAKLIF,"[""Terephthalate"", ""Tetradeuteroterephthalate"", ""Benzene-1,4-dicarboxylate"", ""1,4-Benzenedicarboxylate"", ""terephthtalate""]",,"bis((pyridin-4-yl)methyl)hexane-1,6-bis(aminium)",No,8.61,7.01,8.61
4521.86,2625.75,0.76,1.31,0.58,6.97,8.74,55.62,Cu,,,MASMIC,"[""4,4'-Bipyridine"", ""4,4'-bipyridyl"", ""4,4'-Bipyridinium"", ""4,4'-bipyridine"", ""4,4'-dipyridyl""]","[""Cyano"", ""dicyano""]",,Yes,9.31,7.54,9.3
2754.14,1852.6,0.71,1.05,0.67,4.8,6.52,46.9,Cu,,,CUQSAK,,"[""Cyano"", ""dicyano""]",,Yes,18.3,4.5,17.87
